Kommun,Badplats,Provtid,Kvalitet,Siktdjup,Vattentemp,lat,long
Tjörn,Almöns badplats,2014-06-10,  Tjänligt,,  19,5,0,0
Tjörn,Almöns badplats,2014-07-08,  Tjänligt,,  20,1,0,0
Tjörn,Almöns badplats,2014-07-29,  Tjänligt,,  22,7,0,0
Tjörn,Almöns badplats,2014-08-26,  Tjänligt m. Anm.,,  14,5,0,0
Örebro,Alnängarna,2014-05-26,  Tjänligt,,  18,0,0
Örebro,Alnängarna,2014-06-02,  Tjänligt,,  17,0,0
Örebro,Alnängarna,2014-06-09,  Tjänligt,,  19,0,0
Örebro,Alnängarna,2014-06-16,  Tjänligt,,  18,0,0
Örebro,Alnängarna,2014-06-23,  Tjänligt,,  18,0,0
Örebro,Alnängarna,2014-06-30,  Tjänligt,,  17,0,0
Örebro,Alnängarna,2014-07-07,  Tjänligt,,  21,0,0
Örebro,Alnängarna,2014-07-21,  Tjänligt,,  23,0,0
Örebro,Alnängarna,2014-08-04,  Tjänligt,,  25,0,0
Örebro,Alnängarna,2014-08-11,  Tjänligt m. Anm.,,  20,0,0
Sandviken,Alsjön, Åshammar,2014-06-25,  Tjänligt,,  17,4,0,0
Sandviken,Alsjön, Åshammar,2014-07-08,  Tjänligt,,  24,0,0
Sandviken,Alsjön, Åshammar,2014-07-22,  Tjänligt,,  25,0,0
Sandviken,Alsjön, Åshammar,2014-08-06,  Tjänligt,,  24,2,0,0
Sandviken,Alsjön, Åshammar,2014-08-20,  Tjänligt,,  18,1,0,0
Enköping,Alsta,2014-06-11,  Tjänligt,,  20,5,0,0
Enköping,Alsta,2014-07-08,  Tjänligt,,  22,2,0,0
Enköping,Alsta,2014-08-05,  Tjänligt,,  23,6,0,0
Mönsterås,Alsterån, Skansen,2014-06-12,  Tjänligt m. Anm.,,  19,0,0
Mönsterås,Alsterån, Skansen,2014-06-26,  Tjänligt,,  16,5,0,0
Mönsterås,Alsterån, Skansen,2014-07-17,  Tjänligt,,  20,0,0
Mönsterås,Alsterån, Skansen,2014-08-07,  Tjänligt m. Anm.,,  21,0,0
Mönsterås,Alsterån, Skansen,2014-08-11,  Tjänligt,,  21,0,0
Leksand,Alvik,2014-06-17,  Tjänligt,,  15,8,0,0
