Kommun,Badplats,Provtid,Kvalitet,Siktdjup,Vattentemp,Lat,Long,ID
Arvika,Gunnern Gravås,2014-06-25,  Tjänligt,,  17,3,0,0,64
Arvika,Gunnern Årbotten,2014-06-25,  Tjänligt,,  17,8,0,0,65
Askersund,Hagabadet, Alsen,2014-06-26,  Tjänligt,,  20,0,0,66
Askersund,Hagabadet, Alsen,2014-07-09,  Tjänligt,,  22,3,0,0,67
Askersund,Hagabadet, Alsen,2014-07-29,  Tjänligt,,  26,8,0,0,68
Askersund,Hagabadet, Alsen,2014-08-14,  Tjänligt,,  21,6,0,0,69
Avesta,Halsjön,2014-06-11,  Tjänligt,,  20,0,0,70
Avesta,Halsjön,2014-07-10,  Tjänligt,,  23,0,0,71
Avesta,Halsjön,2014-08-07,  Tjänligt,,  23,0,0,72
Arvika,Hammartjärn,2014-07-09,  Tjänligt,,  23,9,0,0,73
Askersund,Hargebaden, Vättern,2014-06-10,  Tjänligt,,  17,4,0,0,74
Askersund,Hargebaden, Vättern,2014-06-24,  Tjänligt,,  12,0,0,75
Askersund,Hargebaden, Vättern,2014-07-09,  Tjänligt,,  19,6,0,0,76
Askersund,Hargebaden, Vättern,2014-07-30,  Tjänligt m. Anm.,,  23,4,0,0,77
Alvesta,Hjortsberga,2014-06-10,  Tjänligt,  0,5,  23,0,0,78
Alvesta,Hjortsberga,2014-07-01,  Tjänligt,,  20,0,0,79
Alvesta,Hjortsberga,2014-07-22,  Tjänligt,,  25,0,0,80
Avesta,Holmen,2014-06-11,  Tjänligt,,  17,0,0,81
Avesta,Holmen,2014-07-10,  Tjänligt,,  19,0,0,82
Avesta,Holmen,2014-07-16,  Tjänligt m. Anm.,,  20,0,0,83
Avesta,Holmen,2014-07-22,  Otjänligt,,  21,0,0,84
Avesta,Holmen,2014-07-24,  Tjänligt m. Anm.,,  22,0,0,85
Avesta,Holmen,2014-07-29,  Tjänligt m. Anm.,,  23,0,0,86
Avesta,Holmen,2014-07-31,  Tjänligt,,  23,0,0,87
Avesta,Holmen,2014-08-07,  Otjänligt,,  22,7,0,0,88
Avesta,Holmen,2014-08-13,  Tjänligt m. Anm.,,  20,6,0,0,89
Avesta,Holmen,2014-08-20,  Tjänligt m. Anm.,,  19,0,0,90
Avesta,Holmen,2014-08-27,  Tjänligt m. Anm.,,  16,0,0,91
Alvesta,Hulevik,2014-06-10,  Tjänligt,,  22,8,0,0,92
Alvesta,Hulevik,2014-07-01,  Tjänligt,,  19,0,0,93
Alvesta,Hulevik,2014-07-22,  Tjänligt,,  23,0,0,94
Ale,Hultasjön,2014-06-03,  Tjänligt,  3,8,  17,0,0,95
Ale,Hultasjön,2014-06-16,  Tjänligt,  4,85,  19,0,0,96
Ale,Hultasjön,2014-07-01,  Tjänligt,  4,  16,0,0,97
Ale,Hultasjön,2014-07-15,  Tjänligt,  4,2,  20,0,0,98
Ale,Hultasjön,2014-07-28,  Tjänligt,  4,9,  22,0,0,99
Ale,Hultasjön,2014-08-11,  Tjänligt,  4,75,  21,0,0,100
Askersund,Husabergsudde, Alsen,2014-06-26,  Tjänligt,,  19,0,0,101
Askersund,Husabergsudde, Alsen,2014-07-09,  Tjänligt,,  23,5,0,0,102
Askersund,Husabergsudde, Alsen,2014-08-01,  Tjänligt m. Anm.,,  23,5,0,0,103
Askersund,Husabergsudde, Alsen,2014-08-14,  Tjänligt,,  21,0,0,104
Ale,Hålsjön,2014-06-03,  Otjänligt,  0,5,  18,0,0,105
Ale,Hålsjön,2014-06-16,  Tjänligt,  0,5,  20,0,0,106
Ale,Hålsjön,2014-07-01,  Tjänligt,  0,5,  16,0,0,107
Ale,Hålsjön,2014-07-15,  Tjänligt,  0,4,  20,0,0,108
Ale,Hålsjön,2014-07-28,  Tjänligt,  0,5,  22,0,0,109
Ale,Hålsjön,2014-08-11,  Tjänligt m. Anm.,  0,2,  20,0,0,110
Arvidsjaur,Järvträsk,2014-07-28,  Tjänligt,,  23,0,0,111
Arvika,Kolsjön,2014-06-25,  Tjänligt,,  18,3,0,0,112
Avesta,Kullhytt-Dammsjön,2014-07-08,  Tjänligt,,  24,0,0,113
Askersund,Kärrafjärden, Vättern,2014-06-24,  Tjänligt,,  17,8,0,0,114
Askersund,Kärrafjärden, Vättern,2014-07-30,  Tjänligt,,  25,0,0,115
Arvidsjaur,Lauker,2014-07-28,  Tjänligt,,  22,0,0,116
Alvesta,Lidnäs,2014-06-10,  Tjänligt,,  22,0,0,117
Alvesta,Lidnäs,2014-07-01,  Tjänligt,,  19,0,0,118
Alvesta,Lidnäs,2014-07-22,  Tjänligt,,  22,0,0,119
Avesta,Lillsjön,2014-06-11,  Tjänligt,,  19,0,0,120
Avesta,Lillsjön,2014-07-08,  Tjänligt,,  22,0,0,121
Avesta,Lillsjön,2014-07-10,  Tjänligt,,  22,0,0,122
Avesta,Lillsjön,2014-08-07,  Tjänligt,,  22,0,0,123
Arvidsjaur,Lullejaur,2014-07-28,  Tjänligt,,  20,6,0,0,124
Arvika,Mangen,2014-06-25,  Tjänligt,,  18,4,0,0,125
Alingsås,Mjörn, Bergsjödalsviken,2014-06-10,  Tjänligt,,  19,0,0,126
Alingsås,Mjörn, Bergsjödalsviken,2014-07-01,  Tjänligt,,  18,0,0,127
Alingsås,Mjörn, Bergsjödalsviken,2014-07-22,  Tjänligt,,  21,0,0,128
Alingsås,Mjörn, Bergsjödalsviken,2014-08-12,  Tjänligt,,  20,0,0,129
Alingsås,Mjörn, Lövekulle camping,2014-06-10,  Tjänligt,,  18,0,0,130
Alingsås,Mjörn, Lövekulle camping,2014-07-01,  Tjänligt,,  18,0,0,131
Alingsås,Mjörn, Lövekulle camping,2014-07-22,  Tjänligt,,  20,0,0,132
Alingsås,Mjörn, Lövekulle camping,2014-08-12,  Tjänligt m. Anm.,,  20,0,0,133
Avesta,Morshyttesjön,2014-07-08,  Tjänligt,,  23,0,0,134
Arvidsjaur,Moskosels Camping,2014-07-28,  Tjänligt,,  20,6,0,0,135
Askersund,Multen,2014-06-24,  Tjänligt,,  18,3,0,0,136
Askersund,Multen,2014-07-30,  Tjänligt,,  24,5,0,0,137
Aneby,Noen,2014-06-17,  Tjänligt,  > 2,5,  18,1,0,0,138
Aneby,Noen,2014-07-15,  Tjänligt,  > 2,5,  0,2,0,0,139
Aneby,Noen,2014-08-25,  Tjänligt,  > 2,3,  15,9,0,0,140
Aneby,Nordsjön,2014-06-17,  Tjänligt,  > 0,5,  19,1,0,0,141
Aneby,Nordsjön,2014-07-15,  Otjänligt,  > 0,5,  20,5,0,0,142
Aneby,Nordsjön,2014-07-29,  Tjänligt,  > 0,5,  25,3,0,0,143
Aneby,Nordsjön,2014-08-25,  Tjänligt,  > 0,5,  15,6,0,0,144
Arvidsjaur,Nyborgstjärnen,2014-07-28,  Tjänligt,,  24,0,0,145
Alingsås,Nären, Närsbo,2014-06-10,  Tjänligt,,  20,0,0,146
Alingsås,Nären, Närsbo,2014-07-01,  Tjänligt,,  18,0,0,147
Alingsås,Nären, Närsbo,2014-07-22,  Tjänligt,,  21,0,0,148
Alingsås,Nären, Närsbo,2014-08-12,  Tjänligt,,  20,0,0,149
Avesta,Nävden,2014-07-16,  Tjänligt,,  21,0,0,150
Alingsås,Playa Mjörn,2014-06-10,  Tjänligt m. Anm.,,  20,0,0,151
Alingsås,Playa Mjörn,2014-07-01,  Tjänligt,,  18,0,0,152
